original_filename,original_path,new_filename,output_path,primary_sector,activity,confidence,classification_reason
DSC_0626.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0626.jpg,afd_enfance_activites_enfants_site_communautaire_001.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_001.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_0627.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0627.jpg,afd_enfance_activites_enfants_site_communautaire_002.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_002.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_0628.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0628.jpg,afd_enfance_activites_enfants_site_communautaire_003.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_003.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_0957.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0957.jpg,afd_enfance_activites_enfants_site_communautaire_004.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_004.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_0962.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0962.jpg,afd_enfance_activites_enfants_site_communautaire_005.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_005.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_0964.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0964.jpg,afd_enfance_activites_enfants_site_communautaire_006.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_006.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_0970.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_0970.jpg,afd_enfance_activites_enfants_site_communautaire_007.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_007.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_1255.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_1255.jpg,afd_enfance_activites_enfants_site_communautaire_008.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_008.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_1257.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_1257.jpg,afd_enfance_activites_enfants_site_communautaire_009.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_009.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
DSC_1258.jpg,D:\Maquette_AFD\Banque des images AFD\Banque Images 1\All children\DSC_1258.jpg,afd_enfance_activites_enfants_site_communautaire_010.jpg,D:\Maquette_AFD\Banque des images AFD - Classees\12_enfance\afd_enfance_activites_enfants_site_communautaire_010.jpg,enfance,activites_enfants,moyen,"Planche-contact verifiee: enfants en groupe, abris et contexte communautaire visibles; le dossier confirme une serie centree sur les enfants."
